"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File Congressional District","All Record Count"
"HI","W - White","80-89.9","80-89.9","002","10,679"
"HI","A - Asian or Pacific Islander","80-89.9","60-69.9","001","10,270"
"HI","W - White","80-89.9","70-79.9","002","10,234"
"HI","A - Asian or Pacific Islander","80-89.9","70-79.9","001","9,645"
"HI","A - Asian or Pacific Islander","80-89.9","50-59.9","001","9,435"
"HI","A - Asian or Pacific Islander","80-89.9","40-49.9","001","7,611"
"HI","W - White","80-89.9","60-69.9","002","7,541"
"HI","A - Asian or Pacific Islander","80-89.9","80-89.9","001","6,983"
"HI","W - White","70-79.9","70-79.9","002","6,319"
"HI","W - White","80-89.9","90-100","002","6,309"
"HI","W - White","0-9.9","70-79.9","002","6,228"
"HI","W - White","90-100","70-79.9","002","6,102"
"HI","W - White","70-79.9","80-89.9","002","6,087"
"HI","W - White","10-19.9","70-79.9","002","6,077"
"HI","W - White","60-69.9","80-89.9","002","5,954"
"HI","W - White","60-69.9","70-79.9","002","5,902"
"HI","A - Asian or Pacific Islander","80-89.9","80-89.9","002","5,839"
"HI","W - White","90-100","80-89.9","002","5,572"
"HI","W - White","50-59.9","70-79.9","002","5,535"
"HI","A - Asian or Pacific Islander","0-9.9","70-79.9","002","5,447"
"HI","A - Asian or Pacific Islander","80-89.9","70-79.9","002","5,402"
"HI","W - White","0-9.9","80-89.9","002","5,388"
"HI","A - Asian or Pacific Islander","70-79.9","60-69.9","001","5,359"
"HI","W - White","10-19.9","80-89.9","002","5,321"
"HI","A - Asian or Pacific Islander","80-89.9","30-39.9","001","5,284"
"HI","W - White","80-89.9","70-79.9","001","5,262"
"HI","A - Asian or Pacific Islander","0-9.9","80-89.9","002","5,053"
"HI","W - White","70-79.9","60-69.9","002","4,967"
"HI","A - Asian or Pacific Islander","70-79.9","50-59.9","001","4,934"
"HI","A - Asian or Pacific Islander","70-79.9","70-79.9","001","4,932"
"HI","W - White","50-59.9","80-89.9","002","4,837"
"HI","A - Asian or Pacific Islander","50-59.9","60-69.9","001","4,803"
"HI","W - White","0-9.9","60-69.9","002","4,800"
"HI","W - White","80-89.9","60-69.9","001","4,799"
"HI","W - White","10-19.9","60-69.9","002","4,791"
"HI","W - White","80-89.9","80-89.9","001","4,772"
"HI","A - Asian or Pacific Islander","60-69.9","60-69.9","001","4,756"
"HI","A - Asian or Pacific Islander","50-59.9","50-59.9","001","4,605"
"HI","A - Asian or Pacific Islander","60-69.9","50-59.9","001","4,585"
"HI","W - White","50-59.9","60-69.9","002","4,580"
"HI","W - White","60-69.9","60-69.9","002","4,560"
"HI","W - White","90-100","60-69.9","002","4,516"
"HI","W - White","80-89.9","50-59.9","002","4,441"
"HI","W - White","40-49.9","70-79.9","002","4,387"
"HI","A - Asian or Pacific Islander","70-79.9","40-49.9","001","4,335"
"HI","A - Asian or Pacific Islander","0-9.9","60-69.9","002","4,281"
"HI","A - Asian or Pacific Islander","80-89.9","60-69.9","002","4,195"
"HI","A - Asian or Pacific Islander","50-59.9","70-79.9","001","4,149"
"HI","A - Asian or Pacific Islander","60-69.9","70-79.9","001","4,148"
"HI","A - Asian or Pacific Islander","40-49.9","60-69.9","001","3,984"
"HI","A - Asian or Pacific Islander","60-69.9","40-49.9","001","3,979"
"HI","W - White","80-89.9","50-59.9","001","3,967"
"HI","A - Asian or Pacific Islander","90-100","60-69.9","001","3,902"
"HI","A - Asian or Pacific Islander","50-59.9","40-49.9","001","3,821"
"HI","W - White","40-49.9","80-89.9","002","3,821"
"HI","A - Asian or Pacific Islander","90-100","50-59.9","001","3,785"
"HI","A - Asian or Pacific Islander","40-49.9","50-59.9","001","3,768"
"HI","A - Asian or Pacific Islander","90-100","70-79.9","001","3,718"
"HI","W - White","20-29.9","70-79.9","002","3,558"
"HI","W - White","40-49.9","60-69.9","002","3,551"
"HI","A - Asian or Pacific Islander","40-49.9","70-79.9","001","3,484"
"HI","W - White","30-39.9","70-79.9","002","3,470"
"HI","A - Asian or Pacific Islander","70-79.9","80-89.9","001","3,460"
"HI","W - White","90-100","70-79.9","001","3,454"
"HI","W - White","90-100","90-100","002","3,418"
"HI","W - White","70-79.9","50-59.9","002","3,415"
"HI","A - Asian or Pacific Islander","0-9.9","40-49.9","001","3,404"
"HI","A - Asian or Pacific Islander","10-19.9","70-79.9","002","3,373"
"HI","W - White","50-59.9","50-59.9","002","3,362"
"HI","W - White","0-9.9","50-59.9","002","3,340"
"HI","W - White","90-100","60-69.9","001","3,321"
"HI","W - White","70-79.9","90-100","002","3,320"
"HI","A - Asian or Pacific Islander","0-9.9","50-59.9","002","3,306"
"HI","W - White","10-19.9","50-59.9","002","3,292"
"HI","A - Asian or Pacific Islander","80-89.9","90-100","002","3,273"
"HI","A - Asian or Pacific Islander","0-9.9","50-59.9","001","3,209"
"HI","A - Asian or Pacific Islander","70-79.9","30-39.9","001","3,165"
"HI","W - White","60-69.9","50-59.9","002","3,156"
"HI","A - Asian or Pacific Islander","70-79.9","80-89.9","002","3,118"
"HI","A - Asian or Pacific Islander","70-79.9","70-79.9","002","3,059"
"HI","W - White","30-39.9","60-69.9","002","3,054"
"HI","W - White","60-69.9","90-100","002","3,051"
"HI","W - White","20-29.9","60-69.9","002","3,010"
"HI","A - Asian or Pacific Islander","50-59.9","30-39.9","001","2,995"
"HI","A - Asian or Pacific Islander","0-9.9","30-39.9","001","2,991"
"HI","W - White","70-79.9","70-79.9","001","2,986"
"HI","W - White","20-29.9","80-89.9","002","2,981"
"HI","A - Asian or Pacific Islander","80-89.9","50-59.9","002","2,972"
"HI","A - Asian or Pacific Islander","60-69.9","30-39.9","001","2,970"
"HI","A - Asian or Pacific Islander","40-49.9","40-49.9","001","2,968"
"HI","A - Asian or Pacific Islander","60-69.9","80-89.9","001","2,926"
"HI","A - Asian or Pacific Islander","10-19.9","80-89.9","002","2,921"
"HI","A - Asian or Pacific Islander","80-89.9","90-100","001","2,873"
"HI","A - Asian or Pacific Islander","10-19.9","60-69.9","002","2,852"
"HI","A - Asian or Pacific Islander","90-100","40-49.9","001","2,851"
"HI","W - White","90-100","80-89.9","001","2,831"
"HI","A - Asian or Pacific Islander","50-59.9","80-89.9","001","2,803"
"HI","W - White","70-79.9","60-69.9","001","2,799"
"HI","W - White","30-39.9","80-89.9","002","2,752"
"HI","W - White","80-89.9","40-49.9","001","2,744"
"HI","A - Asian or Pacific Islander","50-59.9","80-89.9","002","2,725"
"HI","W - White","80-89.9","90-100","001","2,704"
"HI","W - White","90-100","50-59.9","001","2,681"
"HI","W - White","60-69.9","60-69.9","001","2,667"
"HI","W - White","60-69.9","70-79.9","001","2,665"
"HI","W - White","90-100","50-59.9","002","2,648"
"HI","A - Asian or Pacific Islander","60-69.9","80-89.9","002","2,644"
"HI","A - Asian or Pacific Islander","80-89.9","20-29.9","001","2,626"
"HI","A - Asian or Pacific Islander","10-19.9","40-49.9","001","2,624"
"HI","A - Asian or Pacific Islander","10-19.9","50-59.9","001","2,623"
"HI","W - White","80-89.9","40-49.9","002","2,604"
"HI","A - Asian or Pacific Islander","50-59.9","70-79.9","002","2,598"
"HI","W - White","40-49.9","50-59.9","002","2,597"
"HI","A - Asian or Pacific Islander","90-100","80-89.9","001","2,592"
"HI","A - Asian or Pacific Islander","10-19.9","60-69.9","001","2,564"
"HI","W - White","50-59.9","60-69.9","001","2,550"
"HI","A - Asian or Pacific Islander","60-69.9","70-79.9","002","2,547"
"HI","W - White","70-79.9","80-89.9","001","2,536"
"HI","A - Asian or Pacific Islander","0-9.9","60-69.9","001","2,530"
"HI","A - Asian or Pacific Islander","0-9.9","20-29.9","001","2,523"
"HI","W - White","70-79.9","50-59.9","001","2,440"
"HI","A - Asian or Pacific Islander","40-49.9","80-89.9","001","2,411"
"HI","A - Asian or Pacific Islander","70-79.9","60-69.9","002","2,369"
"HI","W - White","50-59.9","70-79.9","001","2,338"
"HI","A - Asian or Pacific Islander","90-100","80-89.9","002","2,329"
"HI","W - White","60-69.9","50-59.9","001","2,285"
"HI","A - Asian or Pacific Islander","40-49.9","30-39.9","001","2,270"
"HI","A - Asian or Pacific Islander","0-9.9","40-49.9","002","2,264"
"HI","A - Asian or Pacific Islander","30-39.9","50-59.9","001","2,262"
"HI","A - Asian or Pacific Islander","50-59.9","60-69.9","002","2,255"
"HI","W - White","20-29.9","50-59.9","002","2,226"
"HI","A - Asian or Pacific Islander","40-49.9","80-89.9","002","2,208"
"HI","W - White","30-39.9","50-59.9","002","2,198"
"HI","A - Asian or Pacific Islander","10-19.9","70-79.9","001","2,195"
"HI","W - White","50-59.9","90-100","002","2,180"
"HI","A - Asian or Pacific Islander","40-49.9","70-79.9","002","2,169"
"HI","A - Asian or Pacific Islander","30-39.9","60-69.9","001","2,163"
"HI","A - Asian or Pacific Islander","60-69.9","60-69.9","002","2,154"
"HI","A - Asian or Pacific Islander","10-19.9","50-59.9","002","2,149"
"HI","W - White","0-9.9","40-49.9","002","2,144"
"HI","A - Asian or Pacific Islander","90-100","70-79.9","002","2,138"
"HI","W - White","10-19.9","40-49.9","002","2,092"
"HI","A - Asian or Pacific Islander","20-29.9","50-59.9","001","2,086"
"HI","W - White","50-59.9","40-49.9","002","2,058"
"HI","A - Asian or Pacific Islander","30-39.9","40-49.9","001","2,052"
"HI","W - White","50-59.9","50-59.9","001","2,047"
"HI","A - Asian or Pacific Islander","30-39.9","70-79.9","002","2,041"
"HI","A - Asian or Pacific Islander","80-89.9","40-49.9","002","2,019"
"HI","W - White","60-69.9","80-89.9","001","2,015"
"HI","A - Asian or Pacific Islander","20-29.9","70-79.9","002","1,986"
"HI","W - White","0-9.9","90-100","002","1,966"
"HI","W - White","60-69.9","40-49.9","002","1,964"
"HI","A - Asian or Pacific Islander","20-29.9","40-49.9","001","1,943"
"HI","A - Asian or Pacific Islander","90-100","30-39.9","001","1,923"
"HI","A - Asian or Pacific Islander","20-29.9","60-69.9","001","1,920"
"HI","W - White","70-79.9","40-49.9","002","1,909"
"HI","A - Asian or Pacific Islander","10-19.9","30-39.9","001","1,906"
"HI","A - Asian or Pacific Islander","0-9.9","70-79.9","001","1,892"
"HI","W - White","60-69.9","40-49.9","001","1,886"
"HI","A - Asian or Pacific Islander","70-79.9","50-59.9","002","1,849"
"HI","A - Asian or Pacific Islander","40-49.9","60-69.9","002","1,845"
"HI","A - Asian or Pacific Islander","70-79.9","90-100","002","1,843"
"HI","W - White","90-100","90-100","001","1,840"
"HI","W - White","10-19.9","90-100","002","1,839"
"HI","W - White","50-59.9","80-89.9","001","1,812"
"HI","A - Asian or Pacific Islander","30-39.9","80-89.9","002","1,797"
"HI","W - White","70-79.9","40-49.9","001","1,791"
"HI","A - Asian or Pacific Islander","60-69.9","20-29.9","001","1,787"
"HI","A - Asian or Pacific Islander","50-59.9","20-29.9","001","1,766"
"HI","W - White","90-100","40-49.9","001","1,727"
"HI","A - Asian or Pacific Islander","70-79.9","20-29.9","001","1,713"
"HI","A - Asian or Pacific Islander","0-9.9","90-100","002","1,711"
"HI","A - Asian or Pacific Islander","50-59.9","50-59.9","002","1,708"
"HI","A - Asian or Pacific Islander","30-39.9","60-69.9","002","1,692"
"HI","A - Asian or Pacific Islander","30-39.9","30-39.9","001","1,690"
"HI","W - White","50-59.9","40-49.9","001","1,681"
"HI","A - Asian or Pacific Islander","20-29.9","60-69.9","002","1,679"
"HI","W - White","40-49.9","60-69.9","001","1,673"
"HI","A - Asian or Pacific Islander","30-39.9","70-79.9","001","1,668"
"HI","W - White","40-49.9","90-100","002","1,657"
"HI","A - Asian or Pacific Islander","60-69.9","50-59.9","002","1,647"
"HI","A - Asian or Pacific Islander","20-29.9","80-89.9","002","1,622"
"HI","A - Asian or Pacific Islander","20-29.9","30-39.9","001","1,612"
"HI","W - White","40-49.9","70-79.9","001","1,559"
"HI","W - White","30-39.9","40-49.9","002","1,538"
"HI","A - Asian or Pacific Islander","10-19.9","20-29.9","001","1,531"
"HI","W - White","40-49.9","40-49.9","002","1,514"
"HI","A - Asian or Pacific Islander","50-59.9","90-100","002","1,510"
"HI","A - Asian or Pacific Islander","90-100","60-69.9","002","1,509"
"HI","A - Asian or Pacific Islander","40-49.9","50-59.9","002","1,496"
"HI","A - Asian or Pacific Islander","10-19.9","40-49.9","002","1,477"
"HI","A - Asian or Pacific Islander","60-69.9","90-100","002","1,468"
"HI","W - White","20-29.9","40-49.9","002","1,461"
"HI","W - White","80-89.9","30-39.9","001","1,455"
"HI","A - Asian or Pacific Islander","20-29.9","70-79.9","001","1,453"
"HI","A - Asian or Pacific Islander","30-39.9","50-59.9","002","1,410"
"HI","W - White","40-49.9","50-59.9","001","1,401"
"HI","A - Asian or Pacific Islander","0-9.9","30-39.9","002","1,398"
"HI","H - Hispanic or Latino","0-9.9","70-79.9","002","1,392"
"HI","W - White","90-100","40-49.9","002","1,377"
"HI","A - Asian or Pacific Islander","70-79.9","90-100","001","1,355"
"HI","A - Asian or Pacific Islander","50-59.9","40-49.9","002","1,340"
"HI","A - Asian or Pacific Islander","0-9.9","10-19.9","001","1,335"
"HI","A - Asian or Pacific Islander","40-49.9","20-29.9","001","1,335"
"HI","A - Asian or Pacific Islander","70-79.9","40-49.9","002","1,282"
"HI","W - White","70-79.9","90-100","001","1,279"
"HI","W - White","80-89.9","30-39.9","002","1,275"
"HI","A - Asian or Pacific Islander","80-89.9","30-39.9","002","1,266"
"HI","A - Asian or Pacific Islander","10-19.9","80-89.9","001","1,264"
"HI","W - White","60-69.9","30-39.9","001","1,249"
"HI","W - White","40-49.9","40-49.9","001","1,247"
"HI","A - Asian or Pacific Islander","20-29.9","50-59.9","002","1,241"
"HI","A - Asian or Pacific Islander","20-29.9","20-29.9","001","1,199"
"HI","W - White","0-9.9","30-39.9","002","1,190"
"HI","A - Asian or Pacific Islander","60-69.9","40-49.9","002","1,185"
"HI","W - White","10-19.9","30-39.9","002","1,175"
"HI","A - Asian or Pacific Islander","90-100","90-100","002","1,169"
"HI","W - White","30-39.9","60-69.9","001","1,164"
"HI","W - White","50-59.9","30-39.9","002","1,159"
"HI","W - White","10-19.9","60-69.9","001","1,151"
"HI","W - White","30-39.9","90-100","002","1,146"
"HI","W - White","60-69.9","30-39.9","002","1,140"
"HI","A - Asian or Pacific Islander","90-100","90-100","001","1,138"
"HI","A - Asian or Pacific Islander","40-49.9","90-100","002","1,136"
"HI","W - White","30-39.9","50-59.9","001","1,131"
"HI","H - Hispanic or Latino","0-9.9","60-69.9","002","1,116"
"HI","W - White","50-59.9","30-39.9","001","1,112"
"HI","A - Asian or Pacific Islander","40-49.9","40-49.9","002","1,111"
"HI","W - White","70-79.9","30-39.9","001","1,111"
"HI","W - White","10-19.9","50-59.9","001","1,110"
"HI","H - Hispanic or Latino","0-9.9","80-89.9","002","1,108"
"HI","W - White","20-29.9","50-59.9","001","1,108"
"HI","W - White","40-49.9","80-89.9","001","1,103"
"HI","W - White","20-29.9","90-100","002","1,103"
"HI","W - White","20-29.9","60-69.9","001","1,100"
"HI","A - Asian or Pacific Islander","90-100","50-59.9","002","1,099"
"HI","A - Asian or Pacific Islander","30-39.9","20-29.9","001","1,098"
"HI","W - White","10-19.9","70-79.9","001","1,050"
"HI","W - White","70-79.9","30-39.9","002","1,036"
"HI","W - White","10-19.9","40-49.9","001","1,004"
"HI","A - Asian or Pacific Islander","60-69.9","90-100","001","1,004"
"HI","A - Asian or Pacific Islander","0-9.9","20-29.9","002","1,001"
"HI","A - Asian or Pacific Islander","30-39.9","80-89.9","001","984"
"HI","A - Asian or Pacific Islander","30-39.9","40-49.9","002","983"
"HI","W - White","30-39.9","70-79.9","001","967"
"HI","W - White","20-29.9","70-79.9","001","955"
"HI","H - Hispanic or Latino","80-89.9","70-79.9","002","952"
"HI","A - Asian or Pacific Islander","10-19.9","90-100","002","951"
"HI","A - Asian or Pacific Islander","10-19.9","30-39.9","002","950"
"HI","W - White","20-29.9","40-49.9","001","948"
"HI","H - Hispanic or Latino","0-9.9","50-59.9","002","923"
"HI","A - Asian or Pacific Islander","20-29.9","40-49.9","002","918"
"HI","H - Hispanic or Latino","80-89.9","80-89.9","002","918"
"HI","A - Asian or Pacific Islander","30-39.9","90-100","002","905"
"HI","A - Asian or Pacific Islander","50-59.9","30-39.9","002","900"
"HI","W - White","40-49.9","30-39.9","002","896"
"HI","W - White","60-69.9","90-100","001","869"
"HI","W - White","30-39.9","40-49.9","001","861"
"HI","W - White","30-39.9","30-39.9","002","859"
"HI","A - Asian or Pacific Islander","90-100","20-29.9","001","852"
"HI","A - Asian or Pacific Islander","0-9.9","80-89.9","001","836"
"HI","W - White","90-100","30-39.9","001","835"
"HI","W - White","0-9.9","50-59.9","001","832"
"HI","A - Asian or Pacific Islander","60-69.9","30-39.9","002","830"
"HI","A - Asian or Pacific Islander","70-79.9","30-39.9","002","809"
"HI","W - White","20-29.9","30-39.9","002","785"
"HI","A - Asian or Pacific Islander","20-29.9","80-89.9","001","776"
"HI","W - White","40-49.9","30-39.9","001","772"
"HI","A - Asian or Pacific Islander","40-49.9","30-39.9","002","771"
"HI","H - Hispanic or Latino","10-19.9","70-79.9","002","760"
"HI","W - White","0-9.9","40-49.9","001","752"
"HI","A - Asian or Pacific Islander","50-59.9","90-100","001","736"
"HI","W - White","0-9.9","60-69.9","001","733"
"HI","A - Asian or Pacific Islander","90-100","40-49.9","002","728"
"HI","A - Asian or Pacific Islander","10-19.9","10-19.9","001","721"
"HI","W - White","10-19.9","30-39.9","001","713"
"HI","A - Asian or Pacific Islander","20-29.9","90-100","002","707"
"HI","W - White","0-9.9","20-29.9","002","689"
"HI","A - Asian or Pacific Islander","50-59.9","10-19.9","001","689"
"HI","H - Hispanic or Latino","80-89.9","60-69.9","002","688"
"HI","H - Hispanic or Latino","0-9.9","40-49.9","002","678"
"HI","H - Hispanic or Latino","10-19.9","60-69.9","002","673"
"HI","A - Asian or Pacific Islander","80-89.9","20-29.9","002","666"
"HI","W - White","30-39.9","80-89.9","001","663"
"HI","W - White","20-29.9","30-39.9","001","662"
"HI","A - Asian or Pacific Islander","10-19.9","20-29.9","002","645"
"HI","A - Asian or Pacific Islander","30-39.9","30-39.9","002","644"
"HI","A - Asian or Pacific Islander","40-49.9","90-100","001","639"
"HI","H - Hispanic or Latino","40-49.9","70-79.9","002","631"
"HI","H - Hispanic or Latino","50-59.9","70-79.9","002","625"
"HI","W - White","30-39.9","30-39.9","001","622"
"HI","H - Hispanic or Latino","70-79.9","80-89.9","002","618"
"HI","W - White","60-69.9","20-29.9","001","616"
"HI","H - Hispanic or Latino","70-79.9","70-79.9","002","612"
"HI","H - Hispanic or Latino","10-19.9","80-89.9","002","610"
"HI","A - Asian or Pacific Islander","20-29.9","30-39.9","002","609"
"HI","H - Hispanic or Latino","60-69.9","80-89.9","002","607"
"HI","W - White","0-9.9","30-39.9","001","605"
"HI","H - Hispanic or Latino","10-19.9","50-59.9","002","604"
"HI","W - White","20-29.9","80-89.9","001","604"
"HI","H - Hispanic or Latino","80-89.9","90-100","002","603"
"HI","W - White","10-19.9","80-89.9","001","599"
"HI","W - White","50-59.9","90-100","001","593"
"HI","H - Hispanic or Latino","50-59.9","80-89.9","002","590"
"HI","A - Asian or Pacific Islander","60-69.9","10-19.9","001","588"
"HI","H - Hispanic or Latino","80-89.9","50-59.9","001","576"
"HI","W - White","90-100","30-39.9","002","576"
"HI","A - Asian or Pacific Islander","80-89.9","10-19.9","001","570"
"HI","W - White","0-9.9","70-79.9","001","568"
"HI","H - Hispanic or Latino","50-59.9","60-69.9","002","566"
"HI","H - Hispanic or Latino","80-89.9","60-69.9","001","564"
"HI","W - White","10-19.9","20-29.9","002","560"
"HI","H - Hispanic or Latino","70-79.9","60-69.9","002","553"
"HI","U - Uncoded","0-9.9","80-89.9","002","551"
"HI","W - White","80-89.9","20-29.9","001","550"
"HI","H - Hispanic or Latino","30-39.9","70-79.9","002","548"
"HI","A - Asian or Pacific Islander","50-59.9","20-29.9","002","534"
"HI","A - Asian or Pacific Islander","20-29.9","10-19.9","001","533"
"HI","U - Uncoded","0-9.9","70-79.9","002","530"
"HI","H - Hispanic or Latino","60-69.9","70-79.9","002","529"
"HI","H - Hispanic or Latino","40-49.9","60-69.9","002","527"
"HI","A - Asian or Pacific Islander","70-79.9","10-19.9","001","523"
"HI","H - Hispanic or Latino","80-89.9","50-59.9","002","521"
"HI","U - Uncoded","80-89.9","80-89.9","002","520"
"HI","W - White","70-79.9","20-29.9","001","517"
"HI","H - Hispanic or Latino","40-49.9","80-89.9","002","517"
"HI","H - Hispanic or Latino","30-39.9","60-69.9","002","513"
"HI","W - White","80-89.9","20-29.9","002","508"
"HI","H - Hispanic or Latino","80-89.9","40-49.9","001","507"
"HI","H - Hispanic or Latino","60-69.9","60-69.9","002","501"
"HI","U - Uncoded","80-89.9","50-59.9","001","495"
"HI","W - White","50-59.9","20-29.9","002","493"
"HI","W - White","10-19.9","20-29.9","001","492"
"HI","A - Asian or Pacific Islander","60-69.9","20-29.9","002","492"
"HI","U - Uncoded","80-89.9","70-79.9","001","491"
"HI","W - White","50-59.9","20-29.9","001","488"
"HI","H - Hispanic or Latino","80-89.9","70-79.9","001","488"
"HI","W - White","60-69.9","20-29.9","002","483"
"HI","U - Uncoded","80-89.9","60-69.9","001","482"
"HI","H - Hispanic or Latino","20-29.9","70-79.9","002","462"
"HI","H - Hispanic or Latino","40-49.9","50-59.9","002","455"
"HI","U - Uncoded","80-89.9","70-79.9","002","453"
"HI","H - Hispanic or Latino","50-59.9","50-59.9","002","442"
"HI","H - Hispanic or Latino","30-39.9","50-59.9","002","441"
"HI","H - Hispanic or Latino","30-39.9","80-89.9","002","440"
"HI","A - Asian or Pacific Islander","20-29.9","20-29.9","002","435"
"HI","W - White","0-9.9","20-29.9","001","433"
"HI","A - Asian or Pacific Islander","70-79.9","20-29.9","002","431"
"HI","H - Hispanic or Latino","50-59.9","60-69.9","001","426"
"HI","U - Uncoded","0-9.9","60-69.9","002","415"
"HI","W - White","70-79.9","20-29.9","002","415"
"HI","W - White","20-29.9","20-29.9","002","415"
"HI","A - Asian or Pacific Islander","90-100","30-39.9","002","414"
"HI","W - White","30-39.9","20-29.9","002","414"
"HI","A - Asian or Pacific Islander","0-9.9","10-19.9","002","413"
"HI","A - Asian or Pacific Islander","40-49.9","10-19.9","001","412"
"HI","A - Asian or Pacific Islander","30-39.9","10-19.9","001","405"
"HI","U - Uncoded","80-89.9","90-100","002","402"
"HI","W - White","40-49.9","20-29.9","002","402"
"HI","A - Asian or Pacific Islander","30-39.9","20-29.9","002","401"
"HI","A - Asian or Pacific Islander","40-49.9","20-29.9","002","401"
"HI","H - Hispanic or Latino","20-29.9","60-69.9","002","400"
"HI","H - Hispanic or Latino","0-9.9","30-39.9","002","397"
"HI","W - White","40-49.9","90-100","001","392"
"HI","W - White","20-29.9","20-29.9","001","391"
"HI","H - Hispanic or Latino","50-59.9","50-59.9","001","383"
"HI","H - Hispanic or Latino","70-79.9","50-59.9","002","379"
"HI","H - Hispanic or Latino","80-89.9","40-49.9","002","379"
"HI","U - Uncoded","80-89.9","80-89.9","001","378"
"HI","W - White","40-49.9","20-29.9","001","374"
"HI","H - Hispanic or Latino","70-79.9","90-100","002","372"
